,dataset,algo,accuracy,time
0,bank,MLPClassifier,0.8874172185430463,0.0574650764465332
1,bank,GradientBoostingClassifier,0.8896247240618101,0.020005226135253906
2,bank,RandomForestClassifier,0.9072847682119205,0.49201178550720215
3,bank,SVC,0.891832229580574,1.2577059268951416
4,bank,XGBClassifier,0.8962472406181016,0.27288222312927246
5,bank-full,MLPClassifier,0.8845643520566121,0.4492220878601074
6,bank-full,GradientBoostingClassifier,0.8881026094648385,0.13908910751342773
7,bank-full,RandomForestClassifier,0.9068996019460416,4.734450340270996
8,bank-full,SVC,0.0,0.0
9,bank-full,XGBClassifier,0.9020344980097302,2.672201633453369
10,bank-additional,MLPClassifier,0.9101941747572816,0.048001766204833984
11,bank-additional,GradientBoostingClassifier,0.9053398058252428,0.01600027084350586
12,bank-additional,RandomForestClassifier,0.8956310679611651,0.38800930976867676
13,bank-additional,SVC,0.8810679611650486,0.2560105323791504
14,bank-additional,XGBClassifier,0.9004854368932039,0.2680072784423828
15,bank-additional-full,MLPClassifier,0.8897790725904345,0.44382190704345703
16,bank-additional-full,GradientBoostingClassifier,0.909686817188638,0.14209413528442383
17,bank-additional-full,RandomForestClassifier,0.9140568099053168,3.4234726428985596
18,bank-additional-full,SVC,0.0,0.0
19,bank-additional-full,XGBClassifier,0.9162418062636563,2.952280282974243
20,Abalone,MLPClassifier,0.22488038277511962,0.19607877731323242
21,Abalone,GradientBoostingClassifier,0.12200956937799043,1.7856676578521729
22,Abalone,RandomForestClassifier,0.23205741626794257,0.7876121997833252
23,Abalone,SVC,0.145933014354067,0.7816541194915771
24,Abalone,XGBClassifier,0.2583732057416268,4.4924235343933105
25,Glass,MLPClassifier,0.18181818181818182,0.008002758026123047
26,Glass,GradientBoostingClassifier,0.9545454545454546,0.0280001163482666
27,Glass,RandomForestClassifier,1.0,0.1280064582824707
28,Glass,SVC,0.9545454545454546,0.0
29,Glass,XGBClassifier,0.9545454545454546,0.056000709533691406
30,Tic-Tac-Toe,MLPClassifier,0.7083333333333334,0.03600120544433594
31,Tic-Tac-Toe,GradientBoostingClassifier,0.6458333333333334,0.004000663757324219
32,Tic-Tac-Toe,RandomForestClassifier,0.9270833333333334,0.15599679946899414
33,Tic-Tac-Toe,SVC,0.6145833333333334,0.023998498916625977
34,Tic-Tac-Toe,XGBClassifier,0.8958333333333334,0.03600168228149414
35,MNIST,MLPClassifier,0.9727142857142858,8.232611894607544
36,MNIST,GradientBoostingClassifier,0.7218571428571429,82.30295610427856
37,MNIST,RandomForestClassifier,0.9708571428571429,52.45973491668701
38,MNIST,SVC,0.0,0.0
39,MNIST,XGBClassifier,0.9337142857142857,1683.2815585136414
