,dataset,algo,accuracy,time
0,bank,GradientBoostingClassifier,0.9161147902869757,0.003001689910888672
1,bank,MLPClassifier,0.8874172185430463,0.001001119613647461
2,bank,RandomForestClassifier,0.891832229580574,0.013008594512939453
3,bank,RandomForestClassifier,0.9094922737306843,0.012508392333984375
4,bank,SVC,0.891832229580574,0.06154131889343262
5,bank,XGBClassifier,0.9006622516556292,0.005023956298828125
6,bank-full,GradientBoostingClassifier,0.913312693498452,0.022515296936035156
7,bank-full,MLPClassifier,0.8836797877045555,0.007504701614379883
8,bank-full,RandomForestClassifier,0.9071207430340558,0.0805513858795166
9,bank-full,RandomForestClassifier,0.9053516143299425,0.07955336570739746
10,bank-full,SVC,0.8843432109685979,5.832579612731934
11,bank-full,XGBClassifier,0.9095532950022114,4295.5533719062805
12,bank-additional,GradientBoostingClassifier,0.8980582524271845,0.0030028820037841797
13,bank-additional,MLPClassifier,0.8980582524271845,0.0015010833740234375
14,bank-additional,RandomForestClassifier,0.8980582524271845,0.013008832931518555
15,bank-additional,RandomForestClassifier,0.8980582524271845,0.012511730194091797
16,bank-additional,SVC,0.8810679611650486,0.01601099967956543
17,bank-additional,XGBClassifier,0.8956310679611651,0.14661955833435059
18,bank-additional-full,GradientBoostingClassifier,0.9201262442340374,0.02101421356201172
19,bank-additional-full,MLPClassifier,0.9145423646516144,0.007504940032958984
20,bank-additional-full,RandomForestClassifier,0.915270696771061,0.07655048370361328
21,bank-additional-full,RandomForestClassifier,0.9174556931294003,0.0785517692565918
22,bank-additional-full,SVC,0.9162418062636563,1.4979984760284424
23,bank-additional-full,XGBClassifier,0.9186695799951444,0.05203366279602051
